participant_id,sex,age
1001,m,49.0
1002,f,45.0
1003,f,48.0
1005,f,46.0
1006,f,65.0
1007,f,54.0
1008,m,67.0
1009,f,56.0
1011,m,50.0
1012,m,49.0
1013,m,82.0
1015,f,74.0
1016,f,56.0
1018,f,45.0
1019,m,65.0
1020,f,72.0
1021,m,50.0
1022,f,60.0
1023,f,47.0
1024,m,48.0
1025,f,47.0
1026,f,67.0
1027,m,49.0
1028,m,65.0
1029,m,51.0
1030,f,52.0
1031,f,47.0
1032,f,57.0
1033,f,52.0
1034,f,47.0
1035,f,47.0
1036,f,50.0
1037,f,58.0
1038,f,50.0
1039,f,49.0
1040,f,45.0
1042,f,54.0
1043,f,53.0
1045,f,63.0
1046,m,24.0
1047,f,28.0
1048,m,65.0
1049,m,25.0
1050,f,21.0
1051,f,25.0
1052,f,20.0
1053,m,28.0
1055,f,23.0
1056,f,24.0
1057,f,21.0
1058,m,24.0
1059,f,22.0
1061,f,23.0
1062,f,27.0
1063,f,55.0
1064,f,26.0
1066,m,27.0
1067,f,22.0
1069,f,23.0
1070,m,52.0
1071,m,65.0
1074,f,50.0
1075,m,67.0
1076,f,53.0
1077,m,23.0
1078,f,67.0
1081,m,64.0
1083,f,76.0
1084,m,25.0
1085,f,75.0
1087,m,67.0
1088,f,64.0
1089,f,68.0
1090,f,70.0
1091,f,53.0
1092,m,69.0
1095,m,70.0
1096,m,55.0
1097,f,67.0
1098,f,79.0
1099,f,49.0
1100,f,54.0
1101,f,48.0
1102,m,19.0
1103,f,66.0
1104,f,71.0
1105,m,68.0
1106,f,31.0
1108,f,52.0
1109,f,27.0
1110,f,66.0
1111,f,29.0
1112,f,19.0
1113,f,61.0
1114,f,50.0
1115,f,35.0
1116,f,25.0
1117,f,64.0
1118,m,24.0
1119,f,39.0
1120,m,65.0
1121,f,23.0
1122,m,18.0
1123,m,42.0
1124,f,22.0
1125,f,41.0
1126,f,74.0
1127,m,76.0
1128,f,71.0
1129,f,65.0
1130,m,70.0
1131,f,69.0
1132,f,70.0
1133,f,20.0
1134,f,32.0
1135,m,65.0
1136,f,46.0
1137,f,24.0
1138,m,67.0
1139,m,36.0
1140,m,66.0
1141,m,29.0
1142,m,31.0
1144,f,45.0
1145,f,28.0
1146,f,24.0
1147,f,65.0
1148,f,45.0
1149,f,18.0
1150,m,23.0
1151,f,21.0
1152,m,62.0
1153,f,33.0
1154,m,24.0
1155,f,68.0
1156,m,61.0
1157,f,51.0
1158,f,69.0
1159,f,53.0
1160,m,59.0
1161,f,72.0
1162,f,48.0
1163,m,33.0
1164,f,27.0
1165,f,52.0
1166,f,23.0
1167,m,26.0
1168,f,67.0
1169,f,29.0
1170,f,38.0
1171,f,20.0
1172,m,77.0
1173,m,76.0
1174,f,30.0
1175,f,23.0
1176,f,21.0
1177,f,64.0
1178,f,52.0
1179,f,34.0
1180,f,31.0
1181,f,58.0
